ID,Offset,DST Diff,DST Rule,Name,Timezone
30000,0,1,0,ABIDJAN,Africa/Abidjan
30001,0,1,0,ACCRA,Africa/Accra
30002,3,1,0,ADDIS ABABA,Africa/Addis_Ababa
30003,1,1,0,ALGIERS,Africa/Algiers
30004,3,1,0,ASMARA,Africa/Asmara
30005,3,1,0,ASMERA,Africa/Asmera
30006,0,1,0,BAMAKO,Africa/Bamako
30007,1,1,0,BANGUI,Africa/Bangui
30008,0,1,0,BANJUL,Africa/Banjul
30009,0,1,0,BISSAU,Africa/Bissau
30010,2,1,0,BLANTYRE,Africa/Blantyre
30011,1,1,0,BRAZZAVILLE,Africa/Brazzaville
30012,2,1,0,BUJUMBURA,Africa/Bujumbura
30013,2,1,22,CAIRO,Africa/Cairo
30014,0,1,15,CASABLANCA,Africa/Casablanca
30015,1,1,2,CEUTA,Africa/Ceuta
30016,0,1,0,CONAKRY,Africa/Conakry
30017,0,1,0,DAKAR,Africa/Dakar
30018,3,1,0,DAR ES SALAAM,Africa/Dar_es_Salaam
30019,3,1,0,DJIBOUTI,Africa/Djibouti
30020,1,1,0,DOUALA,Africa/Douala
30021,0,1,15,EL AAIUN,Africa/El_Aaiun
30022,0,1,0,FREETOWN,Africa/Freetown
30023,2,1,0,GABORONE,Africa/Gaborone
30024,2,1,0,HARARE,Africa/Harare
30025,2,1,0,JOHANNESBURG,Africa/Johannesburg
30026,3,1,0,JUBA,Africa/Juba
30027,3,1,0,KAMPALA,Africa/Kampala
30028,2,1,0,KHARTOUM,Africa/Khartoum
30029,2,1,0,KIGALI,Africa/Kigali
30030,1,1,0,KINSHASA,Africa/Kinshasa
30031,1,1,0,LAGOS,Africa/Lagos
30032,1,1,0,LIBREVILLE,Africa/Libreville
30033,0,1,0,LOME,Africa/Lome
30034,1,1,0,LUANDA,Africa/Luanda
30035,2,1,0,LUBUMBASHI,Africa/Lubumbashi
30036,2,1,0,LUSAKA,Africa/Lusaka
30037,1,1,0,MALABO,Africa/Malabo
30038,2,1,0,MAPUTO,Africa/Maputo
30039,2,1,0,MASERU,Africa/Maseru
30040,2,1,0,MBABANE,Africa/Mbabane
30041,3,1,0,MOGADISHU,Africa/Mogadishu
30042,0,1,0,MONROVIA,Africa/Monrovia
30043,3,1,0,NAIROBI,Africa/Nairobi
30044,1,1,0,NDJAMENA,Africa/Ndjamena
30045,1,1,0,NIAMEY,Africa/Niamey
30046,0,1,0,NOUAKCHOTT,Africa/Nouakchott
30047,0,1,0,OUAGADOUGOU,Africa/Ouagadougou
30048,1,1,0,PORTO-NOVO,Africa/Porto-Novo
30049,0,1,0,SAO TOME,Africa/Sao_Tome
30050,0,1,0,TIMBUKTU,Africa/Timbuktu
30051,2,1,0,TRIPOLI,Africa/Tripoli
30052,1,1,0,TUNIS,Africa/Tunis
30053,2,1,0,WINDHOEK,Africa/Windhoek
30054,-10,1,1,ADAK,America/Adak
30055,-9,1,1,ANCHORAGE,America/Anchorage
30056,-4,1,0,ANGUILLA,America/Anguilla
30057,-4,1,0,ANTIGUA,America/Antigua
30058,-3,1,0,ARAGUAINA,America/Araguaina
30059,-3,1,0,BUENOS AIRES,America/Argentina/Buenos_Aires
30060,-3,1,0,CATAMARCA,America/Argentina/Catamarca
30061,-3,1,0,COMODRIVADAVIA,America/Argentina/ComodRivadavia
30062,-3,1,0,CORDOBA,America/Argentina/Cordoba
30063,-3,1,0,JUJUY,America/Argentina/Jujuy
30064,-3,1,0,LA RIOJA,America/Argentina/La_Rioja
30065,-3,1,0,MENDOZA,America/Argentina/Mendoza
30066,-3,1,0,RIO GALLEGOS,America/Argentina/Rio_Gallegos
30067,-3,1,0,SALTA,America/Argentina/Salta
30068,-3,1,0,SAN JUAN,America/Argentina/San_Juan
30069,-3,1,0,SAN LUIS,America/Argentina/San_Luis
30070,-3,1,0,TUCUMAN,America/Argentina/Tucuman
30071,-3,1,0,USHUAIA,America/Argentina/Ushuaia
30072,-4,1,0,ARUBA,America/Aruba
30073,-4,1,9,ASUNCION,America/Asuncion
30074,-5,1,0,ATIKOKAN,America/Atikokan
30075,-10,1,1,ATKA,America/Atka
30076,-3,1,0,BAHIA,America/Bahia
30077,-6,1,0,BAHIA BANDERAS,America/Bahia_Banderas
30078,-4,1,0,BARBADOS,America/Barbados
30079,-3,1,0,BELEM,America/Belem
30080,-6,1,0,BELIZE,America/Belize
